id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
274033248,Laptop HP 15s fq5231TU 8U241PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhựa) - Hàng Chính Hãng - Bảo Hành 12 Tháng,9869000,9869000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
274037360,Điện Thoại POCO C65 (6GB/128GB) - Hàng Chính Hãng,2690000,3090000,400000,13,49,4.8,17918.0,POCO,Trung Quốc,dien-thoai-smartphone,Điện thoại
274037365,Điện Thoại POCO C65 (8GB/256GB) - Hàng Chính Hãng,2990000,3590000,600000,17,77,4.8,11527.0,POCO,Trung Quốc,dien-thoai-smartphone,Điện thoại
274037754,Laptop HP ProBook 440 G10 9H8U6PT (Intel Core i5-1335U | 16GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng,19990000,19990000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
274059475,Điện Thoại Samsung Galaxy S24 Ultra (12GB/256GB) - Hàng Chính Hãng,25690000,33990000,8300000,24,2,5.0,4.0,Samsung,Việt Nam,dien-thoai-smartphone,Điện thoại
274065746,"Điện thoại siêu bền Oukitel WP33 Pro 5G (Loa to 136 dB (5W) ,Pin 22000mAh,màn hình 6,6 inch FHD+,Ram 24GB(8+16),Rom 256GB, Camera 64MP,sạc nhanh 33W)- hàng chính hãng",8990000,8990000,0,0,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
274069052,Điện Thoại Xiaomi Redmi Note 12 Pro 4G 8GB/256GB - Hàng Chính Hãng,5490000,7990000,2500000,31,15,5.0,820.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
274099409,Điện Thoại Xiaomi Redmi Note 13 8GB/128GB - Hàng Chính Hãng,4529000,5290000,761000,14,1,5.0,3.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
274101255,Máy Tính Bảng Samsung Galaxy Tab A9 Wifi 4GB/64GB - Hàng Chính Hãng,2550000,3490000,940000,27,100,4.8,504.0,Samsung,Trung Quốc,may-tinh-bang,Máy tính bảng
274101262,Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Hàng Chính Hãng,3890000,5990000,2100000,35,57,4.7,234.0,Samsung,Trung Quốc,may-tinh-bang,Máy tính bảng
